GeneID,Ensembl_ID,CPM_TUMOR,CPM_SPLEEN
DPM1,ENSG00000000419,61.27462733,47.58351284
SCYL3,ENSG00000000457,21.70353357,31.94893005
FGR,ENSG00000000938,3.634080039,75.15173854
CFH,ENSG00000000971,1.312306681,8.308232401
FUCA2,ENSG00000001036,37.85500041,31.79787128
GCLC,ENSG00000001084,16.15146684,17.44728804
NFYA,ENSG00000001167,22.41016024,30.81598927
STPG1,ENSG00000001460,6.662480072,5.966821452
NIPAL3,ENSG00000001461,28.06317364,46.14845452
LAS1L,ENSG00000001497,47.24304051,43.80704357
ENPP4,ENSG00000001561,11.50792012,20.2418753
ANKIB1,ENSG00000001629,34.4228137,45.01551374
CYP51A1,ENSG00000001630,86.20845426,55.89174524
KRIT1,ENSG00000001631,43.30612047,74.69856222
RAD52,ENSG00000002016,6.056800065,11.78258413
LAP3,ENSG00000002549,150.6124283,83.38444155
HS3ST1,ENSG00000002587,3.230293368,1.963764022
MAD1L1,ENSG00000002822,76.31568082,96.29996646
SNX11,ENSG00000002919,18.7760802,25.52893229
M6PR,ENSG00000003056,147.7859216,217.0714538
ICA1,ENSG00000003147,4.138813378,4.909410055
ALS2,ENSG00000003393,6.460586736,7.855056088
CASP10,ENSG00000003400,17.16093352,26.35975553
CFLAR,ENSG00000003402,183.218202,327.9485917
RBM5,ENSG00000003756,79.84881419,117.5992532
SARM1,ENSG00000004139,13.93064015,18.27811128
POLDIP2,ENSG00000004142,70.96550743,54.23009876
PLXND1,ENSG00000004399,7.369106746,20.54399285
CD38,ENSG00000004468,21.70353357,16.38987665
FKBP4,ENSG00000004478,41.69097378,43.6559848
KDM1A,ENSG00000004487,54.41025392,49.47174748
RBM6,ENSG00000004534,79.14218752,146.4514784
CAMKK1,ENSG00000004660,2.927453365,2.49246972
RECQL,ENSG00000004700,163.7354951,207.8568688
VPS50,ENSG00000004766,18.37229353,27.03952
ARHGAP33,ENSG00000004777,14.73821349,12.9910543
ZMYND10,ENSG00000004838,1.917986687,1.737175866
SLC25A13,ENSG00000004864,29.07264031,24.09387396
ST7,ENSG00000004866,11.30602679,7.32635039
CDC27,ENSG00000004897,75.40716081,84.89502926
HCCS,ENSG00000004961,18.67513353,20.99716916
UPF1,ENSG00000005007,53.90552058,85.1971468
SKAP2,ENSG00000005020,29.47642698,35.42328178
SLC25A5,ENSG00000005022,685.7307141,495.1706511
MCUB,ENSG00000005059,178.3727619,255.0627347
MEOX1,ENSG00000005102,1.615146684,2.567999106
LIG3,ENSG00000005156,16.55525351,23.11199195
RPAP3,ENSG00000005175,38.66257375,41.91880893
SPPL2B,ENSG00000005206,25.53950694,26.43528491
COPZ2,ENSG00000005243,7.671946749,3.851998659
PRKAR2B,ENSG00000005249,1.312306681,0.528705698
MSL3,ENSG00000005302,59.65948064,83.68655909
CREBBP,ENSG00000005339,55.31877393,98.1882011
TSPOAP1,ENSG00000005379,19.88649355,29.6075191
MPO,ENSG00000005381,2.725560029,0.226588156
CROT,ENSG00000005469,18.06945353,27.11504938
RHBDD2,ENSG00000005486,114.2716279,73.86773898
ZNF195,ENSG00000005801,26.75086696,31.26916558
ITGAL,ENSG00000005844,114.3725746,402.4960951
PDK2,ENSG00000005882,33.8171337,29.22987217
ZFX,ENSG00000005889,37.35026707,48.94304178
LAMP2,ENSG00000005893,70.05698742,90.71079194
GDE1,ENSG00000006007,96.80785438,76.13362055
REX1BD,ENSG00000006015,219.357109,217.1469832
OSBPL7,ENSG00000006025,15.54578683,20.99716916
AP2B1,ENSG00000006125,108.3157745,152.5693586
ZNF263,ENSG00000006194,12.92117347,20.99716916
SPATA20,ENSG00000006282,24.02530693,16.46540603
TNFRSF12A,ENSG00000006327,14.73821349,15.63458279
MAP3K9,ENSG00000006432,2.119880023,3.474351731
RALA,ENSG00000006451,151.621895,105.1369046
KDM7A,ENSG00000006459,13.62780015,21.90352178
ETV1,ENSG00000006468,1.917986687,0.528705698
AGK,ENSG00000006530,44.31558714,42.52304402
TTC22,ENSG00000006555,4.845440052,20.2418753
PHTF2,ENSG00000006576,132.3410814,130.6658369
FARP2,ENSG00000006607,11.40697346,7.779526703
GGCT,ENSG00000006625,99.43246774,93.05220289
DBF4,ENSG00000006634,89.13590763,87.84067529
IFRD1,ENSG00000006652,79.34408086,35.27222301
COX10,ENSG00000006695,36.6436404,40.93692692
PAF1,ENSG00000006712,79.14218752,59.13950882
VPS41,ENSG00000006715,42.19570712,52.94609921
ARSD,ENSG00000006756,6.76342674,9.969878881
PNPLA4,ENSG00000006757,11.9117068,7.099762233
PRSS21,ENSG00000007038,20.08838688,9.969878881
MARK4,ENSG00000007047,10.90224012,24.9246972
CCDC124,ENSG00000007080,139.4073482,112.3877256
PAFAH1B1,ENSG00000007168,181.6030553,206.2707517
GAS7,ENSG00000007237,4.239760046,17.06964111
MATK,ENSG00000007264,70.56172076,108.4601975
CD79B,ENSG00000007312,51.48280056,71.97950435
RPUSD1,ENSG00000007376,41.38813378,31.04257743
LUC7L,ENSG00000007392,60.06326731,79.45691351
BAIAP3,ENSG00000007516,2.523666694,4.83388067
TSR3,ENSG00000007520,122.9530413,132.856189
PIGQ,ENSG00000007541,22.10732024,17.74940558
CRAMP1,ENSG00000007545,7.772893417,16.76752357
TEAD3,ENSG00000007866,2.321773358,0.755293855
DNAJC11,ENSG00000007923,25.43856027,26.5108143
MYLIP,ENSG00000007944,18.67513353,41.61669139
PSMB1,ENSG00000008018,505.4399655,386.0306891
JARID2,ENSG00000008083,37.14837373,50.9068058
CDK11A,ENSG00000008128,59.86137398,77.64420826
NADK,ENSG00000008130,35.02849371,39.19975106
DLEC1,ENSG00000008226,3.028400033,4.909410055
CYTH3,ENSG00000008256,9.791826772,1.283999553
ADAM22,ENSG00000008277,2.321773358,4.078586815
SYPL1,ENSG00000008282,86.91508094,81.5717363
CYB561,ENSG00000008283,2.018933355,12.61340737
SPAG9,ENSG00000008294,104.7826411,106.194316
CELSR3,ENSG00000008300,2.523666694,3.172234189
MPND,ENSG00000008382,22.81394691,30.36281296
MGST1,ENSG00000008394,3.735026707,0.075529385
CRY1,ENSG00000008405,74.4986408,43.35386726
NFIX,ENSG00000008441,3.936920042,0.679764469
ST3GAL1,ENSG00000008513,65.41344071,92.9766735
MMP25,ENSG00000008516,4.94638672,17.82493497
IL32,ENSG00000008517,3931.872709,7313.283806
PKD1,ENSG00000008710,7.873840085,15.03034771
RHOBTB2,ENSG00000008853,5.753960062,4.456233742
HEATR5B,ENSG00000008869,19.38176021,43.80704357
UBE3C,ENSG00000009335,67.33142739,77.4176201
TENM1,ENSG00000009694,0.90852001,3.776469273
TRAF3IP3,ENSG00000009790,303.6475766,545.7753394
POMT2,ENSG00000009830,4.441653381,3.549881117
BAZ1B,ENSG00000009954,184.429562,200.3794596
RANBP9,ENSG00000010017,80.05070753,70.61997541
ETV7,ENSG00000010030,21.80448024,12.4623486
SPRTN,ENSG00000010072,30.88968033,35.3477524
METTL13,ENSG00000010165,30.58684033,35.3477524
ZNF207,ENSG00000010244,217.0353357,256.1201461
UQCRC1,ENSG00000010256,224.1016024,165.5604129
STARD3NL,ENSG00000010270,50.17049387,60.65009653
CD9,ENSG00000010278,177.2623486,53.24821675
NCAPD2,ENSG00000010292,101.2495078,115.1067834
IFFO1,ENSG00000010295,25.43856027,33.91269407
PHF7,ENSG00000010318,12.41644013,7.628467932
NISCH,ENSG00000010322,26.54897362,32.17551821
FUZ,ENSG00000010361,10.80129345,10.49858458
IDS,ENSG00000010404,308.39207,188.898993
ZNF200,ENSG00000010539,8.883306762,18.65575821
CD4,ENSG00000010610,237.8303492,266.4676719
HIVEP2,ENSG00000010818,34.82660038,50.3781001
CLCN6,ENSG00000011021,6.460586736,9.969878881
MRC2,ENSG00000011028,11.50792012,2.719057877
APBA3,ENSG00000011132,61.88030733,52.64398167
MKS1,ENSG00000011143,10.49845345,7.552938546
ABHD5,ENSG00000011198,35.63417372,29.38093094
MBTD1,ENSG00000011258,11.50792012,16.6164648
UTP18,ENSG00000011260,55.52066727,48.56539485
RNF216,ENSG00000011275,37.04742707,47.20586591
TTC19,ENSG00000011295,108.7195612,76.81338502
PTBP1,ENSG00000011304,178.0699219,143.8834793
PIK3C2A,ENSG00000011405,21.09785356,44.41127865
PLAUR,ENSG00000011422,13.32496014,5.740233295
ANLN,ENSG00000011426,42.09476045,38.29339843
WIZ,ENSG00000011451,9.388040101,15.93670033
QPCTL,ENSG00000011478,6.662480072,4.83388067
CEP68,ENSG00000011523,9.488986769,9.592231954
MAP4K3,ENSG00000011566,11.20508012,9.592231954
ZBTB32,ENSG00000011590,36.34080039,10.12093765
TYROBP,ENSG00000011600,8.883306762,23.03646257
BRCA1,ENSG00000012048,49.7667072,41.76775016
ERCC1,ENSG00000012061,97.61542772,70.46891664
MBTPS2,ENSG00000012174,11.10413345,10.27199642
PRICKLE3,ENSG00000012211,5.047333388,7.628467932
